Region_EN,Region_ES,Subregion_EN,Subregion_ES,Country_EN,Country_ES
Africa,África,Central Africa,África Central,Angola,Angola
,,,,Cameroon,Camerún
,,,,Central African Republic,República Centroafricana
,,,,Chad,Chad
,,,,Democratic Republic of the Congo,República Democrática del Congo
,,,,Equatorial Guinea,Guinea Ecuatorial
,,,,Gabon,Gabón
,,,,Republic of the Congo,República del Congo
,,,,Sao Tome and Principe,Santo Tomé y Príncipe
,,East Africa,África Oriental,Burundi,Burundi
,,,,Comoros,Comoras
,,,,Djibouti,Yibuti
,,,,Eritrea,Eritrea
,,,,Ethiopia,Etiopía
,,,,Kenya,Kenia
,,,,Madagascar,Madagascar
,,,,Malawi,Malaui
,,,,Mauritius,Mauricio
,,,,Mayotte,Mayotte
,,,,Mozambique,Mozambique
,,,,Reunion,Reunión
,,,,Rwanda,Ruanda
,,,,Seychelles,Seychelles
,,,,Somalia,Somalia
,,,,South Sudan,Sudán del Sur
,,,,Tanzania,Tanzania
,,,,Uganda,Uganda
,,,,Zambia,Zambia
,,,,Zimbabwe,Zimbabue
,,North Africa,África del Norte,Algeria,Argelia
,,,,Egypt,Egipto
,,,,Libya,Libia
,,,,Morocco,Marruecos
,,,,Sudan,Sudán
,,,,Tunisia,Túnez
,,,,Western Sahara,Sáhara Occidental
,,South Africa,África del Sur,Botswana,Botsuana
,,,,Eswatini,Esuatini
,,,,Lesotho,Lesoto
,,,,Namibia,Namibia
,,,,South Africa,Sudáfrica
,,West Africa,África occidental,Benin,Benín
,,,,Burkina Faso,Burkina Faso
,,,,Cape Verde,Cabo Verde
,,,,Côte d'Ivoire,Costa de Marfil
,,,,Gambia,Gambia
,,,,Ghana,Ghana
,,,,Guinea,Guinea
,,,,Guinea-Bissau,Guinea-Bisáu
,,,,Liberia,Liberia
,,,,Mali,Malí
,,,,Mauritania,Mauritania
,,,,Niger,Níger
,,,,Nigeria,Nigeria
,,,,"Saint Helena, Ascension and Tristan da Cunha","Smo. Helena, Ascensión y Tristán da Cunha"
,,,,Senegal,Senegal
,,,,Sierra Leone,Sierra Leona
,,,,Togo,Togo
Asia,Asia,Central Asia,Asia Central,Kazakhstan,Kazajstán
,,,,Kyrgyzstan,Kirguistán
,,,,Tajikistan,Tayikistán
,,,,Turkmenistan,Turkmenistán
,,,,Uzbekistan,Uzbekistán
,,East Asia,Asia meridional,China,China
,,,,Hong Kong,Hong Kong
,,,,Japan,Japón
,,,,Macao,Macao
,,,,Mongolia,Mongolia
,,,,North Korea,Corea del Norte
,,,,South Korea,Corea del Sur
,,,,Taiwan,Taiwán
,,South Asia,Asia del Sur,Afghanistan,Afganistán
,,,,Bangladesh,Bangladesh
,,,,Bhutan,Bután
,,,,India,India
,,,,Iran,Irán
,,,,Maldives,Maldivas
,,,,Nepal,Nepal
,,,,Pakistan,Pakistán
,,,,Sri Lanka,Sri Lanka
,,Southeast Asia,Sudeste Asia,Brunei,Brunéi
,,,,Cambodia,Camboya
,,,,Indonesia,Indonesia
,,,,Laos,Laos
,,,,Malaysia,Malasia
,,,,Myanmar,Birmania
,,,,Philippines,Filipinas
,,,,Singapore,Singapur
,,,,Thailand,Tailandia
,,,,Timor-Leste,Timor Oriental
,,,,Vietnam,Vietnam
,,West Asia,Asia occidental,Bahrain,Bahréin
,,,,Iraq,Irak
,,,,Israel,Israel
,,,,Jordan,Jordán
,,,,Kuwait,Kuwait
,,,,Lebanon,Líbano
,,,,Oman,Omán
,,,,Palestine,Palestina
,,,,Qatar,Katar
,,,,Saudi Arabia,Arabia Saudita
,,,,Syria,Siria
,,,,United Arab Emirates,Árabes Unidos Emiratos Árabes Unidos
,,,,Yemen,Yemen
Europe,Europa,East Europe,Europa del Este,Armenia,Armenia
,,,,Azerbaijan,Azerbaiyán
,,,,Belarus,Bielorrusia
